ts,dst,port,bytes,rtt
1749476460.515347,10.0.0.21,8888,19,0.1150
1749476473.470150,10.0.0.21,8888,19,0.0656
1749476486.446079,10.0.0.21,8888,19,0.0744
1749476499.446493,10.0.0.21,8888,19,0.0306
1749476512.403394,10.0.0.21,8888,19,0.0149
1749476524.749543,10.0.0.21,8888,19,0.1042
1749476537.640642,10.0.0.21,8888,19,0.0561
1749476550.176956,10.0.0.21,8888,19,0.3182
1749476563.774789,10.0.0.21,8888,19,0.2487
1749476576.535914,10.0.0.21,8888,19,0.0373
1749476589.517345,10.0.0.21,8888,19,0.0350
1749476601.111150,10.0.0.21,8888,19,0.0700
1749476613.072207,10.0.0.21,8888,19,0.1183
1749476624.243471,10.0.0.21,8888,19,0.1695
1749476635.599626,10.0.0.21,8888,19,0.0344
1749476647.212772,10.0.0.21,8888,19,0.1266
1749476658.683733,10.0.0.21,8888,19,0.0354
1749476670.034690,10.0.0.21,8888,19,0.1476
1749476682.260722,10.0.0.21,8888,19,0.1097
1749476693.738930,10.0.0.21,8888,19,0.0439
1749476704.629909,10.0.0.21,8888,19,0.0876
1749476715.772818,10.0.0.21,8888,19,0.0814
1749476726.706778,10.0.0.21,8888,19,0.2206
1749476737.009193,10.0.0.21,8888,19,0.0594
1749476747.378128,10.0.0.21,8888,19,0.0149
1749476757.941261,10.0.0.21,8888,19,0.1071
1749476768.383123,10.0.0.21,8888,19,0.0997
1749476779.177025,10.0.0.21,8888,19,0.0925
1749476790.044935,10.0.0.21,8888,19,0.1528
1749476800.479277,10.0.0.21,8888,19,0.1124
1749476810.913135,10.0.0.21,8888,19,0.1661
1749476826.790068,10.0.0.21,8888,19,0.1398
1749476844.875314,10.0.0.21,8888,19,0.1184
1749476862.643089,10.0.0.21,8888,19,0.1187
1749476879.177256,10.0.0.21,8888,19,0.0765
1749476895.049252,10.0.0.21,8888,19,0.0502
1749476911.701189,10.0.0.21,8888,19,0.1076
1749476928.242269,10.0.0.21,8888,19,0.0747
1749476945.203251,10.0.0.21,8888,19,0.0326
1749476962.547069,10.0.0.21,8888,19,0.0680
1749476979.969176,10.0.0.21,8888,19,0.1151
1749476993.959150,10.0.0.21,8888,19,0.0420
1749477008.087203,10.0.0.21,8888,19,0.0611
1749477021.804088,10.0.0.21,8888,19,0.0673
1749477035.547300,10.0.0.21,8888,19,0.1658
1749477050.352726,10.0.0.21,8888,19,0.1339
1749477064.510792,10.0.0.21,8888,19,0.2464
1749477078.456908,10.0.0.21,8888,19,0.1132
1749477093.256852,10.0.0.21,8888,19,0.1014
1749477106.676777,10.0.0.21,8888,19,0.2062
1749477120.600682,10.0.0.21,8888,19,0.1123
1749477133.858521,10.0.0.21,8888,19,0.0560
1749477146.865791,10.0.0.21,8888,19,0.1461
1749477160.555383,10.0.0.21,8888,19,0.0688
1749477173.334745,10.0.0.21,8888,19,0.1664
1749477186.196343,10.0.0.21,8888,19,0.0394
1749477199.153377,10.0.0.21,8888,19,0.0697
1749477211.490197,10.0.0.21,8888,19,0.1750
1749477224.367989,10.0.0.21,8888,19,0.1354
1749477237.405351,10.0.0.21,8888,19,0.1043
1749477250.680745,10.0.0.21,8888,19,0.0153
1749477271.006865,10.0.0.21,8888,19,0.0862
1749477291.969725,10.0.0.21,8888,19,0.0780
1749477312.953399,10.0.0.21,8888,19,0.0621
1749477334.356572,10.0.0.21,8888,19,0.0624
1749477354.650636,10.0.0.21,8888,19,0.0738
1749477374.540098,10.0.0.21,8888,19,0.0863
1749477395.952115,10.0.0.21,8888,19,0.0821
1749477416.234725,10.0.0.21,8888,19,0.1399
1749477438.337460,10.0.0.21,8888,19,0.1409
1749477458.173388,10.0.0.21,8888,19,0.1099
1749477474.119406,10.0.0.21,8888,19,0.1167
1749477491.183956,10.0.0.21,8888,19,0.1557
1749477508.397126,10.0.0.21,8888,19,0.2751
1749477524.571900,10.0.0.21,8888,19,0.1986
1749477540.651866,10.0.0.21,8888,19,0.0594
1749477558.451448,10.0.0.21,8888,19,0.1360
1749477574.966538,10.0.0.21,8888,19,0.0413
1749477593.050581,10.0.0.21,8888,19,0.0615
1749477610.161018,10.0.0.21,8888,19,0.2330
1749477627.713844,10.0.0.21,8888,19,0.1005
1749477643.569786,10.0.0.21,8888,19,0.1046
1749477658.240302,10.0.0.21,8888,19,0.0118
1749477673.911410,10.0.0.21,8888,19,0.1326
1749477688.659244,10.0.0.21,8888,19,0.1243
1749477703.061132,10.0.0.21,8888,19,0.0897
1749477718.929182,10.0.0.21,8888,19,0.0807
1749477734.943613,10.0.0.21,8888,19,0.1546
1749477749.241791,10.0.0.21,8888,19,0.0373
1749477764.017197,10.0.0.21,8888,19,0.0113
1749477778.965434,10.0.0.21,8888,19,0.1207
1749477792.667406,10.0.0.21,8888,19,0.0750
1749477805.691171,10.0.0.21,8888,19,0.1658
1749477818.567881,10.0.0.21,8888,19,0.0990
1749477831.568700,10.0.0.21,8888,19,0.0924
1749477844.694918,10.0.0.21,8888,19,0.2130
1749477858.024565,10.0.0.21,8888,19,0.1750
1749477871.047600,10.0.0.21,8888,19,0.1817
1749477884.329267,10.0.0.21,8888,19,0.0957
1749477897.069196,10.0.0.21,8888,19,0.2296
1749477909.570833,10.0.0.21,8888,19,0.0836
1749477921.137982,10.0.0.21,8888,19,0.0841
1749477932.355042,10.0.0.21,8888,19,0.0995
1749477944.276706,10.0.0.21,8888,19,0.1123
1749477956.100554,10.0.0.21,8888,19,0.0186
1749477967.663303,10.0.0.21,8888,19,0.0511
1749477979.196369,10.0.0.21,8888,19,0.0690
1749477990.777330,10.0.0.21,8888,19,0.1234
1749478002.628760,10.0.0.21,8888,19,0.0217
1749478013.895073,10.0.0.21,8888,19,0.0957
1749478025.363926,10.0.0.21,8888,19,0.0511
1749478036.709506,10.0.0.21,8888,19,0.2106
1749478047.412475,10.0.0.21,8888,19,0.0429
1749478058.175306,10.0.0.21,8888,19,0.0449
1749478068.979160,10.0.0.21,8888,19,0.0675
1749478079.388286,10.0.0.21,8888,19,0.0634
1749478090.238834,10.0.0.21,8888,19,0.0876
1749478101.447921,10.0.0.21,8888,19,0.0985
1749478112.212021,10.0.0.21,8888,19,0.0921
1749478123.022351,10.0.0.21,8888,19,0.1036
1749478133.848389,10.0.0.21,8888,19,0.1222
1749478151.659249,10.0.0.21,8888,19,0.1767
1749478168.134387,10.0.0.21,8888,19,0.0322
1749478185.477123,10.0.0.21,8888,19,0.0353
1749478203.188088,10.0.0.21,8888,19,0.0669
1749478220.140152,10.0.0.21,8888,19,0.0124
1749478237.170020,10.0.0.21,8888,19,0.0111
1749478255.018267,10.0.0.21,8888,19,0.1168
1749478271.932535,10.0.0.21,8888,19,0.0141
1749478290.808820,10.0.0.21,8888,19,0.1219
1749478307.330657,10.0.0.21,8888,19,0.0602
1749478322.200590,10.0.0.21,8888,19,0.1105
1749478336.299142,10.0.0.21,8888,19,0.1353
1749478350.336193,10.0.0.21,8888,19,0.0990
1749478365.542852,10.0.0.21,8888,19,0.1300
1749478379.936891,10.0.0.21,8888,19,0.0704
1749478394.403672,10.0.0.21,8888,19,0.0720
1749478409.219687,10.0.0.21,8888,19,0.0397
1749478424.753335,10.0.0.21,8888,19,0.1057
1749478438.874263,10.0.0.21,8888,19,0.0906
1749478453.252794,10.0.0.21,8888,19,0.0141
1749478466.263844,10.0.0.21,8888,19,0.0410
1749478479.752647,10.0.0.21,8888,19,0.1260
1749478492.340487,10.0.0.21,8888,19,0.0908
1749478504.939490,10.0.0.21,8888,19,0.0534
1749478517.995046,10.0.0.21,8888,19,0.0893
1749478531.404233,10.0.0.21,8888,19,0.1176
1749478543.988811,10.0.0.21,8888,19,0.0411
1749478556.781867,10.0.0.21,8888,19,0.1700
1749478569.305408,10.0.0.21,8888,19,0.0691
1749478582.016352,10.0.0.21,8888,19,0.0913
1749478603.378947,10.0.0.21,8888,19,0.0902
1749478625.714850,10.0.0.21,8888,19,0.0382
1749478646.366306,10.0.0.21,8888,19,0.0468
1749478667.474911,10.0.0.21,8888,19,0.1563
1749478688.342066,10.0.0.21,8888,19,0.0167
1749478709.348512,10.0.0.21,8888,19,0.0634
1749478730.756973,10.0.0.21,8888,19,0.0892
1749478751.757472,10.0.0.21,8888,19,0.0566
1749478772.775246,10.0.0.21,8888,19,0.1061
1749478793.813805,10.0.0.21,8888,19,0.0685
1749478811.447513,10.0.0.21,8888,19,0.0474
1749478828.072438,10.0.0.21,8888,19,0.0274
1749478845.051036,10.0.0.21,8888,19,0.0590
1749478863.171167,10.0.0.21,8888,19,0.0752
1749478881.018446,10.0.0.21,8888,19,0.1808
1749478898.254206,10.0.0.21,8888,19,0.0515
1749478915.680286,10.0.0.21,8888,19,0.1102
1749478932.617715,10.0.0.21,8888,19,0.0572
1749478950.359590,10.0.0.21,8888,19,0.1092
1749478967.316217,10.0.0.21,8888,19,0.0754
1749478982.227100,10.0.0.21,8888,19,0.1459
1749478997.292824,10.0.0.21,8888,19,0.0626
1749479012.074799,10.0.0.21,8888,19,0.0587
1749479027.602273,10.0.0.21,8888,19,0.0863
1749479042.350159,10.0.0.21,8888,19,0.0186
1749479057.350953,10.0.0.21,8888,19,0.1909
1749479072.833841,10.0.0.21,8888,19,0.1267
1749479088.336558,10.0.0.21,8888,19,0.0639
1749479103.228645,10.0.0.21,8888,19,0.1045
1749479118.236165,10.0.0.21,8888,19,0.3543
1749479133.788984,10.0.0.21,8888,19,0.0267
1749479150.149750,10.0.0.21,8888,19,0.0649
1749479166.440740,10.0.0.21,8888,19,0.1140
1749479182.299289,10.0.0.21,8888,19,0.0530
1749479198.961035,10.0.0.21,8888,19,0.3705
1749479214.774951,10.0.0.21,8888,19,0.3013
1749479230.918203,10.0.0.21,8888,19,0.1728
1749479247.244393,10.0.0.21,8888,19,0.1500
1749479263.472954,10.0.0.21,8888,19,0.0973
1749479279.499890,10.0.0.21,8888,19,0.2126
1749479293.193367,10.0.0.21,8888,19,0.1606
1749479306.829584,10.0.0.21,8888,19,0.0721
1749479320.546974,10.0.0.21,8888,19,0.0440
1749479334.457933,10.0.0.21,8888,19,0.2277
1749479348.185774,10.0.0.21,8888,19,0.2191
1749479361.767848,10.0.0.21,8888,19,0.0419
1749479375.936685,10.0.0.21,8888,19,0.0993
1749479389.614278,10.0.0.21,8888,19,0.0367
1749479403.603442,10.0.0.21,8888,19,0.3887
1749479416.898444,10.0.0.21,8888,19,0.0188
1749479429.629670,10.0.0.21,8888,19,0.1329
1749479441.805457,10.0.0.21,8888,19,0.0564
1749479454.434296,10.0.0.21,8888,19,0.0769
1749479467.082341,10.0.0.21,8888,19,0.0984
1749479479.750044,10.0.0.21,8888,19,0.1192
1749479492.313902,10.0.0.21,8888,19,0.0556
1749479504.634666,10.0.0.21,8888,19,0.0676
1749479516.949859,10.0.0.21,8888,19,0.0995
1749479529.106143,10.0.0.21,8888,19,0.0603
1749479541.786223,10.0.0.21,8888,19,0.1286
1749479565.363698,10.0.0.21,8888,19,0.1569
1749479588.445588,10.0.0.21,8888,19,0.0733
1749479612.074437,10.0.0.21,8888,19,0.1771
1749479635.074833,10.0.0.21,8888,19,0.0687
1749479658.320486,10.0.0.21,8888,19,0.0791
1749479681.628159,10.0.0.21,8888,19,0.1210
1749479705.114079,10.0.0.21,8888,19,0.0614
1749479728.254754,10.0.0.21,8888,19,0.0419
1749479751.496213,10.0.0.21,8888,19,0.0671
1749479774.677881,10.0.0.21,8888,19,0.0128
1749479793.191866,10.0.0.21,8888,19,0.0488
1749479811.678554,10.0.0.21,8888,19,0.0746
1749479830.192326,10.0.0.21,8888,19,0.1350
1749479848.575351,10.0.0.21,8888,19,0.0999
1749479867.345359,10.0.0.21,8888,19,0.0702
1749479885.842582,10.0.0.21,8888,19,0.1425
1749479904.213463,10.0.0.21,8888,19,0.0757
1749479922.609824,10.0.0.21,8888,19,0.0706
1749479941.029018,10.0.0.21,8888,19,0.0466
1749479959.643557,10.0.0.21,8888,19,0.1077
1749479975.885767,10.0.0.21,8888,19,0.0814
1749479991.916245,10.0.0.21,8888,19,0.1809
1749480007.757727,10.0.0.21,8888,19,0.1141
1749480024.109936,10.0.0.21,8888,19,0.1713
1749480040.241513,10.0.0.21,8888,19,0.0519
1749480056.094275,10.0.0.21,8888,19,0.0200
1749480072.067907,10.0.0.21,8888,19,0.1095
1749480088.290824,10.0.0.21,8888,19,0.0201
1749480104.313531,10.0.0.21,8888,19,0.0685
1749480120.549496,10.0.0.21,8888,19,0.0622
1749480151.050176,10.0.0.21,8888,19,0.0290
1749480181.915812,10.0.0.21,8888,19,0.0744
1749480212.443423,10.0.0.21,8888,19,0.0597
1749480242.882960,10.0.0.21,8888,19,0.0998
1749480273.794570,10.0.0.21,8888,19,0.0643
1749480304.720426,10.0.0.21,8888,19,0.0877
1749480335.190919,10.0.0.21,8888,19,0.0423
1749480365.939447,10.0.0.21,8888,19,0.3215
1749480396.255154,10.0.0.21,8888,19,0.0940
1749480426.773712,10.0.0.21,8888,19,0.0668
1749480450.594471,10.0.0.21,8888,19,0.2804
1749480473.567044,10.0.0.21,8888,19,0.0728
1749480497.171497,10.0.0.21,8888,19,0.1748
1749480520.221967,10.0.0.21,8888,19,0.0319
1749480543.799011,10.0.0.21,8888,19,0.0147
1749480567.512817,10.0.0.21,8888,19,0.1869
1749480591.124434,10.0.0.21,8888,19,0.2232
1749480614.564019,10.0.0.21,8888,19,0.1239
1749480638.130895,10.0.0.21,8888,19,0.2094
1749480661.558773,10.0.0.21,8888,19,0.0254
1749480681.091759,10.0.0.21,8888,19,0.0271
1749480701.143783,10.0.0.21,8888,19,0.0827
1749480721.096900,10.0.0.21,8888,19,0.0908
1749480740.738008,10.0.0.21,8888,19,0.1131
1749480760.247822,10.0.0.21,8888,19,0.0552
1749480779.820737,10.0.0.21,8888,19,0.0955
1749480799.386027,10.0.0.21,8888,19,0.1428
1749480819.132117,10.0.0.21,8888,19,0.0571
1749480839.045190,10.0.0.21,8888,19,0.0823
